dataset,AE,AE-1SVM,ALAD,AnoGAN,DAGMM,DeepSVDD,DIF,DROCC,DTE-Cat,DTE-DDPM,DTE-Gaussian,DTE-IG,DTE-NP,GANomaly,GOAD,ICL,LUNAR,MCM,MO_GAAL,PlanarFlow,SLAD,SO_GAAL,VAE,CBLOF,CD,ECOD,FB,GMM,HBOS,IForest,KDE,LMDD,LODA,MCD,OCSVM,QMCD,Sampling,ABOD,COF,INNE,KNN,KPCA,LOF,PCA,KCM-iso-LOO,KCM-mahal-LOO,KCM-iso-adapt,KCM-isonorm-LOO,TCCM,KCM-oracle
optdigits,0.175,0.08,0.053,0.058,0.092,0.066,0.074,0.201,0.174,0.075,0.241,0.282,0.406,0.113,0.193,0.606,0.926,0.181,0.035,0.048,0.34,0.036,0.081,0.14,0.042,0.066,0.511,0.132,0.384,0.161,0.489,0.052,0.057,0.072,0.068,0.031,0.127,0.098,0.061,0.051,0.036,0.054,0.068,0.056,0.40808262303337417,0.139376085146721,0.08030797303664305,0.6256582181487085,0.24634048132119016,0.6800137649461894
pendigits,0.565,0.464,0.06,0.172,0.136,0.302,0.726,0.142,0.445,0.209,0.808,0.647,0.976,0.094,0.036,0.643,0.983,0.561,0.232,0.137,0.269,0.185,0.419,0.454,0.051,0.417,0.93,0.156,0.426,0.57,0.969,0.276,0.394,0.132,0.523,0.282,0.499,0.07,0.063,0.17,0.088,0.064,0.061,0.337,0.9673663389352651,0.7128518317475048,0.9232998638033456,0.7932024392007347,0.8395466275341225,0.9868593009947378
satellite,0.851,0.819,0.493,0.685,0.698,0.764,0.839,0.76,0.853,0.821,0.845,0.807,0.893,0.831,0.782,0.899,0.896,0.82,0.748,0.739,0.884,0.722,0.817,0.87,0.582,0.66,0.879,0.848,0.883,0.843,0.891,0.555,0.791,0.849,0.823,0.877,0.848,0.503,0.52,0.688,0.637,0.529,0.508,0.674,0.8883715467884692,0.8573946731674014,0.8518095705521382,0.8640384516463614,0.8709433193793575,0.8919652410023609
satimage-2,0.96,0.899,0.035,0.533,0.124,0.801,0.937,0.241,0.518,0.603,0.815,0.647,0.979,0.869,0.971,0.941,0.973,0.75,0.517,0.655,0.927,0.147,0.877,0.976,0.268,0.746,0.94,0.798,0.833,0.932,0.979,0.036,0.931,0.815,0.973,0.942,0.978,0.127,0.093,0.798,0.37,0.134,0.051,0.887,0.9781517360722516,0.5517776881114578,0.9749831747508979,0.9165428098803663,0.851063717051286,0.9842772418234468
shuttle,0.974,0.957,0.311,0.967,0.894,0.959,0.98,0.133,0.938,0.969,0.996,0.996,0.989,0.945,0.952,0.996,0.997,0.966,0.074,0.499,0.98,0.077,0.962,0.965,0.456,0.95,0.478,0.967,0.976,0.985,0.981,0.952,0.5,0.905,0.975,0.684,0.965,0.171,,0.633,0.203,,0.211,0.942,0.974300763007987,0.9359481472237482,0.9797073372188778,0.9715210927860408,0.9854516898362897,0.9847440399151058
skin,0.635,0.358,0.377,0.43,0.587,0.392,0.549,0.716,0.698,0.719,0.972,0.95,0.996,0.295,,0.314,0.975,0.469,0.345,,0.854,0.293,0.373,0.712,0.448,0.303,0.578,0.645,0.534,0.638,0.65,0.297,0.515,0.625,0.664,0.366,0.702,0.342,,0.298,0.332,,0.359,0.253,0.8934093114979913,0.4980289411134212,0.5424476412958488,0.6229599633570626,0.4488049480983305,0.9376304164074356
smtp,0.462,0.467,0.007,0.33,0.214,0.41,0.616,0.001,0.471,0.143,0.102,0.07,0.553,0.001,0.454,0.042,0.662,0.454,0.001,,0.473,0.001,0.46,0.453,0.16,0.585,0.003,0.367,0.009,0.009,0.633,0.183,0.086,0.01,0.636,0.022,0.451,0.002,,0.488,0.105,,0.017,0.454,0.4569386989956447,0.4888034256231141,0.4908101805614649,0.47153712554207433,0.5996505568356947,0.6720712523822702
speech,0.038,0.038,0.033,0.041,0.04,0.034,0.034,0.04,0.047,0.04,0.049,0.03,0.054,0.042,0.037,0.043,0.056,0.038,0.031,0.036,0.036,0.031,0.038,0.038,0.038,0.04,0.044,0.056,0.044,0.032,0.065,0.045,0.033,0.043,0.038,0.026,0.035,0.049,0.029,0.035,0.038,0.033,0.04,0.038,0.07320158664138819,0.06131837180343872,0.037965611697482485,0.08394094721874339,0.05742355921713743,0.08877051074082846
thyroid,0.787,0.859,0.106,0.732,0.276,0.814,0.823,0.703,0.873,0.647,0.539,0.477,0.797,0.567,0.443,0.477,0.755,0.76,0.37,0.788,0.63,0.482,0.841,0.787,0.299,0.636,0.426,0.761,0.747,0.821,0.791,0.697,0.597,0.825,0.79,0.483,0.784,0.228,0.048,0.564,0.549,0.028,0.11,0.429,0.7779145645278046,0.6480447274195199,0.757182581640588,0.4673294336584636,0.7399213229542927,0.8275799983964597
vertebral,0.2,0.233,0.238,0.248,,0.187,0.258,0.234,0.234,0.204,0.221,0.285,0.2,0.204,0.211,0.248,0.199,0.215,0.277,0.257,0.205,0.276,0.212,0.211,0.208,0.191,0.19,0.21,0.174,0.189,0.184,0.186,0.18,0.204,0.213,0.185,0.198,0.166,0.186,0.172,0.161,0.212,0.169,0.167,0.232140978078071,0.25823318878934776,0.22275157850130559,0.3012646869460124,0.22767480388125957,0.3485788846808119
vowels,0.543,0.209,0.079,0.069,,0.111,0.276,0.111,0.809,0.191,0.771,0.874,0.796,0.199,0.322,0.885,0.809,0.688,0.038,0.39,0.758,0.039,0.128,0.332,0.333,0.146,0.622,0.689,0.181,0.232,0.74,0.121,0.224,0.153,0.377,0.186,0.307,0.461,0.335,0.345,0.498,0.064,0.301,0.114,0.8641726671197241,0.8935960714096008,0.5798048214998063,0.7039544683889447,0.7768068527865816,0.96335148483692
wine,0.707,0.69,0.19,0.492,,0.504,0.224,0.172,0.752,0.246,0.573,0.648,0.809,0.31,0.768,0.506,0.843,0.459,0.094,0.572,0.88,0.089,0.651,0.778,0.111,0.327,0.748,0.853,0.674,0.715,0.826,0.557,0.631,0.875,0.773,0.294,0.76,0.113,0.138,0.234,0.142,0.437,0.596,0.271,0.8011497642364516,0.8592136197136198,0.738248851853341,0.532704272139782,0.6445380830077626,0.9354365079365078
yeast,0.485,0.485,0.498,0.472,,0.465,0.457,0.508,0.499,0.515,0.499,0.537,0.494,0.488,0.589,0.506,0.493,0.463,0.49,0.486,0.516,0.5,0.482,0.508,0.452,0.498,0.503,0.477,0.492,0.477,0.48,0.506,0.495,0.488,0.489,0.49,0.491,0.453,0.468,0.447,0.446,0.481,0.47,0.452,0.505400857541876,0.5040084571456287,0.4911730882690966,0.5208344549805496,0.49104831865168713,0.5298686433443534
