dataset,seed,n_train_full,n_train_ref,n_test,D,anom_frac,auroc_iso_loo,t_iso_loo_s,auroc_iso_trim_loo,t_iso_trim_loo_s,auroc_trim_isonorm_blend,t_trim_isonorm_blend_s,wallclock_s
1_ALOI,0,24013,2000,25521,27,0.0590885937071431,0.6224704655446912,9.24263882637024,0.6451406847374118,9.935952425003052,0.645378094822864,10.399807453155518,29.719334840774536
1_ALOI,1,24013,2000,25521,27,0.0590885937071431,0.5901923041022983,9.241186618804932,0.6346828491772969,9.703856468200684,0.6349591142110136,10.035366535186768,29.07839012145996
1_ALOI,2,24013,2000,25521,27,0.0590885937071431,0.5993481537023325,9.185530424118042,0.6431934360046575,9.879617929458618,0.6434643436396797,10.34391474723816,29.508044719696045
20_letter,0,750,750,850,32,0.1176470588235294,0.9353066666666668,0.9148440361022948,0.9353066666666668,0.9132735729217528,0.9466533333333332,0.9438073635101318,2.792677640914917
20_letter,1,750,750,850,32,0.1176470588235294,0.9285733333333333,0.9183201789855956,0.9285733333333333,0.9169957637786864,0.9496133333333334,0.92334246635437,2.7634754180908203
20_letter,2,750,750,850,32,0.1176470588235294,0.9223866666666668,0.9121639728546144,0.9223866666666668,0.910017728805542,0.9349733333333332,0.9229669570922852,2.74983549118042
21_Lymphography,0,71,71,77,18,0.0779220779220779,0.9859154929577464,0.0078210830688476,0.9859154929577464,0.0073721408843994,0.9859154929577464,0.02769136428833,0.0600104331970214
21_Lymphography,1,71,71,77,18,0.0779220779220779,0.9812206572769951,0.006972312927246,0.9812206572769951,0.0070157051086425,0.9812206572769951,0.0086226463317871,0.0256571769714355
21_Lymphography,2,71,71,77,18,0.0779220779220779,1.0,0.0068330764770507,1.0,0.0069384574890136,1.0,0.0086185932159423,0.0252351760864257
22_magic.gamma,0,6166,2000,12854,10,0.5203049634355065,0.835670526711539,3.190178155899048,0.8322050511991209,3.23254656791687,0.8322179276073296,3.437585830688477,9.966976642608644
22_magic.gamma,1,6166,2000,12854,10,0.5203049634355065,0.8370940366758904,3.1941068172454834,0.8348429204295202,3.2291080951690674,0.8348616894313158,3.3919787406921387,9.838860273361206
22_magic.gamma,2,6166,2000,12854,10,0.5203049634355065,0.8413992916472026,3.146517276763916,0.8379668437580993,3.1925971508026123,0.8379544523370172,3.375380516052246,9.739314079284668
23_mammography,0,5461,2000,5722,6,0.0454386578119538,0.8507164887474299,1.8469579219818115,0.8745222234740726,1.864895582199097,0.874594752556122,2.135695695877075,5.877427339553833
23_mammography,1,5461,2000,5722,6,0.0454386578119538,0.8876932935244909,1.8381695747375488,0.8902937779905925,1.8784425258636477,0.8903226487902429,2.0394368171691895,5.768163442611694
23_mammography,2,5461,2000,5722,6,0.0454386578119538,0.8136858152832155,1.8187570571899416,0.8719238515055066,1.8366873264312744,0.871961172295299,1.9381232261657717,5.606189489364624
24_mnist,0,3451,2000,4152,100,0.1685934489402697,0.9540059592782651,20.36268615722656,0.9540059592782651,20.337825775146484,0.9540063731170336,20.476499795913696,61.24147391319275
24_mnist,1,3451,2000,4152,100,0.1685934489402697,0.9472521105777189,20.471344232559204,0.9472521105777189,20.472009897232056,0.947266181095845,20.51957964897156,61.4992241859436
24_mnist,2,3451,2000,4152,100,0.1685934489402697,0.9531981460023174,20.53830361366272,0.9535544611819236,20.55716300010681,0.953584671412018,20.60576343536377,61.73859190940857
25_musk,0,1482,1482,1580,166,0.0613924050632911,1.0,18.53407621383667,1.0,18.60968780517578,1.0,18.744040966033936,55.96162414550781
25_musk,1,1482,1482,1580,166,0.0613924050632911,1.0,18.551201820373535,1.0,18.499926328659058,1.0,18.558242082595825,55.64315223693848
25_musk,2,1482,1482,1580,166,0.0613924050632911,1.0,18.472423315048218,1.0,18.475454807281498,1.0,18.5250027179718,55.504488706588745
26_optdigits,0,2533,2000,2683,64,0.0559075661572866,0.966140281616002,13.139147520065308,0.9594367679957888,13.129289627075195,0.9594367679957888,13.232025623321531,39.63106942176819
26_optdigits,1,2533,2000,2683,64,0.0559075661572866,0.9634530859323596,12.987783908843994,0.9634530859323596,12.962419986724854,0.9634530859323596,12.995566606521606,38.96492052078247
26_optdigits,2,2533,2000,2683,64,0.0559075661572866,0.9583787340439532,12.923316240310667,0.9583787340439532,12.900904655456545,0.9583787340439532,12.933001279830933,38.779080390930176
27_PageBlocks,0,2441,2000,2952,10,0.1727642276422764,0.9680710121886592,2.5139737129211426,0.9542539866069278,2.5656559467315674,0.9550143726614316,2.66774582862854,7.775882959365845
27_PageBlocks,1,2441,2000,2952,10,0.1727642276422764,0.9722463104816046,2.459404945373535,0.9528616852146264,2.5405936241149902,0.9533362239244592,2.596608877182007,7.604950189590454
27_PageBlocks,2,2441,2000,2952,10,0.1727642276422764,0.975979990685873,2.467865467071533,0.9532149796855678,2.534487247467041,0.9542555924908868,2.595702886581421,7.606998920440674
28_pendigits,0,3357,2000,3513,16,0.0444064901793339,0.9983578133712182,3.600383996963501,0.9983578133712182,3.593172788619995,0.9983616324098898,3.7690114974975586,11.013285875320436
28_pendigits,1,3357,2000,3513,16,0.0444064901793339,0.9986805221389672,3.6692724227905273,0.998986045232694,3.662177085876465,0.9989822261940224,3.747528076171875,11.092897653579712
28_pendigits,2,3357,2000,3513,16,0.0444064901793339,0.9992132780336532,3.543760299682617,0.9992132780336532,3.542858123779297,0.9992132780336532,3.628978967666626,10.730536222457886
29_Pima,0,250,250,518,8,0.5173745173745173,0.7042985074626866,0.0380933284759521,0.7042985074626866,0.0363869667053222,0.7042985074626866,0.079941987991333,0.1797089576721191
29_Pima,1,250,250,518,8,0.5173745173745173,0.6942835820895521,0.0361688137054443,0.6942835820895521,0.0361239910125732,0.6942835820895521,0.0393967628479003,0.1150152683258056
